	raw_category	category	mpcat40	ade20k	ade20k_net					
1388	ping pong table	ping pong table	table	"pool table, billiard table, snooker table"	"pool table, billiard table, snooker table"					
1389	pipe	pipe	misc	radiator	radiator					
1390	pipe part	pipe	misc	radiator	radiator					
1391	pipes	pipe	misc	radiator	radiator					
1392	piping	pipe	misc	radiator	radiator					
1393	pitcher	pitcher	objects	vase	ball					
1394	pitchfork	pitchfork	objects	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"					
1395	place mat	place mat	objects	rug	floor					
1396	plane	plane	misc	plane	plane					
1397	plank	plank	misc	"column, pillar"	"column, pillar"					
1398	planner	planner	misc	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
1399	plant	plant	plant	plant	plant					
1400	plant ornament	plant ornament	misc	plant	plant					
1401	planter	pot	objects	pot	"toilet, can, commode, crapper, pot, potty, stool, throne"					
1402	plants	plant	plant	plant	plant					
1403	plasma tv	tv	tv_monitor	tv	tv					
1404	plastic bag	plastic bag	objects	bag	bag					
1405	plate	plate	objects	plate	plate					
1406	plate of food	plate of food	misc	plate	plate					
1407	plates	plates	objects	plate	plate					
1408	platform	platform	misc	"awning, sunshade, sunblind"	"awning, sunshade, sunblind"					
1409	platter	platter	misc	tray	tray					
1410	player	music player	objects	fan	fan					
1411	playpen	playpen	misc	tub	tub					
1412	plenum box	plenum box	misc	box	box					
1413	pliers	pliers	objects	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
1414	plstes	plates	objects	plate	plate					
1415	plug	plug	misc	sink	sink					
1416	plunger	plunger	objects	tub	tub					
1417	plush toy	plush toy	objects	"plaything, toy"	"plaything, toy"					
1418	podest	podium	objects	stage	stage					
1419	podium	podium	objects	stage	stage					
1420	pole	pole	objects	pole	pole					
1421	poles	poles	objects	pole	pole					
1422	pomp	pump	objects	water	water					
1423	pool	pool	misc	pool	pool					
1424	pool stick	pool stick	objects	pool	pool					
1425	pool table	pool table	table	"pool table, billiard table, snooker table"	"pool table, billiard table, snooker table"					
1426	porcelain	porcelain	objects	vase	vase					
1427	portrait	portrait	picture	"painting, picture"	"painting, picture"					
1428	post	post	column	"poster, posting, placard, notice, bill, card"	"poster, posting, placard, notice, bill, card"					
1429	poster	poster	picture	"poster, posting, placard, notice, bill, card"	"poster, posting, placard, notice, bill, card"					
1430	poster figure	poster	picture	"poster, posting, placard, notice, bill, card"	"poster, posting, placard, notice, bill, card"					
1431	pot	pot	objects	pot	"toilet, can, commode, crapper, pot, potty, stool, throne"					
1432	pot lid	pot lid	objects	pot	"toilet, can, commode, crapper, pot, potty, stool, throne"					
1433	poto mount	photo mount	misc	"painting, picture"	"mountain, mount"					
1434	pots	pot	objects	pot	"toilet, can, commode, crapper, pot, potty, stool, throne"					
1435	potty	potty	objects	"toilet, can, commode, crapper, pot, potty, stool, throne"	"toilet, can, commode, crapper, pot, potty, stool, throne"					
1436	pouches	pouches	objects	bag	bag					
1437	poufe	pouffe	seating	"ottoman, pouf, pouffe, puff, hassock"	"ottoman, pouf, pouffe, puff, hassock"					
1438	pouffe	pouffe	seating	"ottoman, pouf, pouffe, puff, hassock"	"ottoman, pouf, pouffe, puff, hassock"					
1439	powder soap	powder soap	objects	box	tub					
1440	power breaker box	power breaker box	misc	box	box					
1441	power cord	power cord	objects	lamp	lamp					
1442	power outlet	outlet	objects	"road, route"	"road, route"					
1443	power strip	power strip	objects	lamp	street lamp					
1444	prduct box	product box	objects	box	box					
1445	press	press	objects	"wardrobe, closet, press"	"wardrobe, closet, press"					
1446	pressure washer	pressure washer	objects	"washer, automatic washer, washing machine"	"washer, automatic washer, washing machine"					
1447	price tag	price tag	objects	trade name	trade name					
1448	printer	printer	objects	computer	computer					
1449	product	product	objects	countertop	countertop					
1450	product box	product box	objects	box	box					
1451	product boxes	product boxes	objects	box	box					
1452	products	products	objects	"awning, sunshade, sunblind"	"awning, sunshade, sunblind"					
1453	projector	projector	objects	computer	crt screen					
1454	projector screen	projector screen	misc	"screen door, screen"	"screen door, screen"					
1455	prop	prop	misc	"base, pedestal, stand"	"base, pedestal, stand"					
1456	psinting	painting	objects	"painting, picture"	"painting, picture"					
1457	public tap	drinking fountain	misc	fountain	fountain					
1458	pump	pump	objects	fountain	water					
1459	punchbag	punchbag	objects	"plaything, toy"	"plaything, toy"					
1460	puncher	hole puncher	objects	ball	ball					
1461	puppet	puppet	objects	"plaything, toy"	"plaything, toy"					
1462	puppet cat	puppet	objects	"plaything, toy"	"plaything, toy"					
1463	purse	purse	objects	bag	bag					
1464	purses	purse	objects	bag	bag					
1465	rack	rack	shelving	shelf	shelf					
1466	rack of weights	rack of weights	misc	shelf	shelf					
1467	rack with shoes	rack with shoes	shelving	clothes	clothes					
1468	radfiator	radiator	objects	radiator	radiator					
1469	radiator	radiator	objects	radiator	radiator					
1470	radio	radio	misc	computer	tv					
1471	rafter	rafter	beam	"bannister, banister, balustrade, balusters, handrail"	"bannister, banister, balustrade, balusters, handrail"					
1472	rag	rag	objects	towel	towel					
1473	ragdoll	ragdoll	objects	arcade machine	arcade machine					
1474	ragdoll cat	ragdoll cat	objects	animal	animal					
1475	rail	rail	railing	"bannister, banister, balustrade, balusters, handrail"	rail					
1476	railing	railing	railing	"bannister, banister, balustrade, balusters, handrail"	wall					
1477	rain shower	showerhead	shower	shower	"washer, automatic washer, washing machine"					
1478	rake	rake	objects	wall	"toilet, can, commode, crapper, pot, potty, stool, throne"					
1479	range hood	range hood	objects	"hood, exhaust hood"	"hood, exhaust hood"					
1480	receipt printer	receipt printer	objects	computer	computer					
1481	receipt spike	receipt spike	objects	"poster, posting, placard, notice, bill, card"	"poster, posting, placard, notice, bill, card"					
1482	recessed cubby	recessed cubby	misc	sconce	sconce					
1483	recessed shelving	recessed shelving	shelving	"bannister, banister, balustrade, balusters, handrail"	"bannister, banister, balustrade, balusters, handrail"					
1484	recessed wall	recessed wall	misc	wall	wall					
1485	recliner	recliner	chair	chair	sofa					
1486	record player	record player	objects	computer	fan					
1487	records	records	objects	computer	dirt track					
1488	recuperator	recuperator	objects	computer	dirt track					
1489	recycle bin	recycle bin	misc	trash can	trash can					
1490	refridgerator	refrigerator	appliances	"refrigerator, icebox"	"refrigerator, icebox"					
1491	refrigearator	refrigerator	appliances	"refrigerator, icebox"	"refrigerator, icebox"					
1492	refrigerator	refrigerator	appliances	"refrigerator, icebox"	"refrigerator, icebox"					
1493	refrigerator cabinet	refrigerator cabinet	cabinet	"refrigerator, icebox"	"refrigerator, icebox"					
1494	relief	relief	wall	wall	cushion					
1495	remote	remote control	objects	computer	monitor					
1496	remote control	remote control	objects	computer	monitor					
1497	remote controller	remote control	objects	computer	monitor					
1498	rice cooker	rice cooker	objects	stove	stove					
1499	riser	riser	misc	radiator	radiator					
1500	robe	robe	clothes	clothes	clothes					
1501	rock	rock	objects	"rock, stone"	"rock, stone"					
1502	rocking chair	rocking chair	chair	chair	chair					
1503	rocking horse	rocking horse	objects	dirt track	dirt track					
1504	rocks	rock	objects	"rock, stone"	"rock, stone"					
1505	rod	rod	objects	pole	pole					
1506	rods	rods	objects	radiator	radiator					
1507	roll	roll	objects	sink	sink					
1508	rolled carpet	rolled carpet	objects	rug	rug					
1509	roller blind	blinds	blinds	"blind, screen"	fireplace					
1510	rolling pin	rolling pin	objects	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"					
1511	rolls of toilet paper	toilet paper	objects	bar	"toilet, can, commode, crapper, pot, potty, stool, throne"					
1512	roof	roof	ceiling	ceiling	"awning, sunshade, sunblind"					
1513	roomba	roomba	misc	"awning, sunshade, sunblind"	"awning, sunshade, sunblind"					
1514	rope	rope	objects	"bannister, banister, balustrade, balusters, handrail"	"bannister, banister, balustrade, balusters, handrail"					
1515	round chair	round chair	chair	chair	chair					
1516	round cushion	round cushion	misc	cushion	cushion					
1517	router	router	objects	computer	computer					
1518	row of theater chairs	row of theater chairs	misc	computer	computer					
1519	rug	rug	floor	rug	rug					
1520	ruler	ruler	objects	table	"toilet, can, commode, crapper, pot, potty, stool, throne"					
1521	safe	safe	objects	"food, solid food"	"food, solid food"					
1522	salt and pepper	salt and pepper	objects	"food, solid food"	"food, solid food"					
1523	salt and pepper grinder	salt and pepper grinder	objects	"food, solid food"	"food, solid food"					
1524	salt pepper	salt and pepper	objects	"food, solid food"	"food, solid food"					
1525	salver	salver	objects	"ottoman, pouf, pouffe, puff, hassock"	"ottoman, pouf, pouffe, puff, hassock"					
1526	sandals	sandals	objects	clothes	clothes					
1527	saturator	saturator	appliances	clothes	clothes					
1528	sauna	sauna	appliances	shower	shower					
1529	sauna bowl	sauna bowl	objects	tub	tub					
1530	sauna ceiling	ceiling	ceiling	ceiling	ceiling					
1531	sauna floor	floor	floor	floor	floor					
1532	sauna heat rocks	sauna heat rocks	misc	shower	shower					
1533	sauna heater	sauna heater	misc	stove	stove					
1534	sauna oven	sauna oven	appliances	oven	oven					
1535	sauna seat	sauna seat	seating	seat	seat					
1536	sauna support	sauna support	misc	shower	shower					
1537	sauna wall	wall	wall	wall	wall					
1538	saw	saw	objects	window	window					
1539	saxophone	saxophone	objects	"rock, stone"	"rock, stone"					
1540	scale	scale	objects	stage	stage					
1541	scales	scale	objects	stage	stage					
1542	scanner	scanner	objects	computer	crt screen					
1543	scarf	scarf	clothes	clothes	clothes					
1544	schedule	schedule	misc	"poster, posting, placard, notice, bill, card"	"road, route"					
1545	schoe	shoe	objects	clothes	clothes					
1546	sconce	sconce	lighting	sconce	sconce					
1547	scoop	scoop	objects	bag	bag					
1548	screen	screen	curtain	"screen door, screen"	"screen door, screen"					
1549	screen frame	screen frame	misc	"screen door, screen"	"screen door, screen"					
1550	screw box	screw box	objects	box	box					
1551	screwdriver	screwdriver	objects	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
1552	sculpture	sculpture	objects	sculpture	sculpture					
1553	seat	seat	seating	seat	seat					
1554	secretary	secretary	misc	person	chair					
1555	security camera	security camera	objects	computer	"awning, sunshade, sunblind"					
1556	self-closing mechanism	self-closing mechanism	misc	computer	"awning, sunshade, sunblind"					
1557	sensor	sensor	objects	computer	"washer, automatic washer, washing machine"					
1558	separator	separator	objects	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"					
1559	set of armchairs	set of armchairs	misc	armchair	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"					
1560	set of boxes	set of boxes	misc	box	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"					
1561	set of cosmetics	set of cosmetics	objects	box	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"					
1562	set of hangers	set of hangers	objects	bar	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"					
1563	set of knives	set of knives	misc	table	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"					
1564	set of pictures	set of pictures	picture	"painting, picture"	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"					
1565	set of towels	set of towels	towel	towel	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"					
1566	set of valves	set of valves	appliances	"washer, automatic washer, washing machine"	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"					
1567	sewing box	sewing box	appliances	box	box					
1568	sewing machine	sewing machine	appliances	computer	"washer, automatic washer, washing machine"					
1569	sewing set	sewing set	appliances	box	flower					
1570	sewing tools	sewing tools	appliances	computer	"washer, automatic washer, washing machine"					
1571	shade	shade	objects	canopy	canopy					
1572	shade rail	shade rail	misc	rail	rail					
1573	shades	shades	blinds	sconce	sconce					
1574	shalf	shelf	shelving	shelf	shelf					
1575	shampoo	shampoo	objects	sink	clothes					
1576	shedule	schedule	misc	"poster, posting, placard, notice, bill, card"	"road, route"					
1577	sheet	sheet	misc	book	pillow					
1578	sheet music	sheet music	objects	"poster, posting, placard, notice, bill, card"	"rock, stone"					
1579	sheet music stand	sheet music stand	objects	"base, pedestal, stand"	"base, pedestal, stand"					
1580	sheets	sheets	misc	book	pillow					
1581	sheets/ clothes	sheets / clothes	clothes	clothes	pillow					
1582	shelf	shelf	shelving	shelf	shelf					
1583	shelf /w art	shelf with art	shelving	shelf	shelf					
1584	shelf /w clutter	shelf with clutter	shelving	shelf	shelf					
1585	shelf clutter	shelf clutter	shelving	shelf	shelf					
1586	shelf cubby	shelf cubby	misc	shelf	shelf					
1587	shelf with cosmetics	shelf with cosmetics	shelving	shelf	shelf					
1588	shelf with shoes	shelf with shoes	shelving	shelf	shelf					
1589	shelf/cabinet	shelf / cabinet	misc	shelf	shelf					
1590	shelve	shelf	shelving	shelf	shelf					
1591	shelves	shelving	shelving	shelf	bookcase					
1592	shelving	shelving	shelving	shelf	bookcase					
1593	ship model	ship model	objects	ship	ship					
1594	ship toy	ship toy	objects	"plaything, toy"	"plaything, toy"					
1595	shirt	shirt	clothes	clothes	clothes					
1596	shisha	shisha	appliances	bottle	"glass, drinking glass"					
1597	shlef	shelf	shelving	shelf	shelf					
1598	shoe	shoe	objects	clothes	clothes					
1599	shoe cabinet	shoe cabinet	cabinet	cabinet	cabinet					
1600	shoe case	shoe case	cabinet	"case, display case, showcase, vitrine"	"case, display case, showcase, vitrine"					
1601	shoe rack	shoe rack	shelving	"case, display case, showcase, vitrine"	"wardrobe, closet, press"					
1602	shoe shelf	shoe shelf	shelving	shelf	shelf					
1603	shoehorn	shoehorn	objects	"blanket, cover"	"blanket, cover"					
1604	shoes	shoes	objects	clothes	clothes					
1605	shoes on shelf	shoes on shelf	shelving	shelf	shelf					
1606	shoes rack	shoes rack	shelving	clothes	clothes					
1607	shop shelf	shop shelf	shelving	shelf	shelf					
1608	shoulder bag	shoulder bag	objects	bag	bag					
1609	shovel	shovel	misc	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"					
1610	shower	shower	shower	shower	shower					
1611	shower  floor	shower floor	shower	shower	shower					
1612	shower  knob	shower knob	misc	shower	shower					
1613	shower  wall	shower wall	shower	shower	shower					
1614	shower bar	shower bar	misc	shower	shower					
1615	shower base	shower base	shower	shower	shower					
1616	shower battery	shower battery	misc	shower	shower					
1617	shower bench	shower bench	seating	seat	bench					
1618	shower cabin	shower cabin	misc	shower	shower					
1619	shower cabinet	shower cabinet	cabinet	cabinet	cabinet					
1620	shower caddy	shower caddy	misc	shower	shower					
1621	shower case	shower case	misc	shower	shower					
1622	shower ceiling	shower ceiling	shower	shower	ceiling					
1623	shower ceiling lamp	shower ceiling lamp	lighting	lamp	lamp					
1624	shower cockpit	shower cockpit	shower	shower	shower					
1625	shower cosmetics	shower cosmetics	objects	shower	shower					
1626	shower curtain	shower curtain	curtain	curtain	curtain					
1627	shower curtain bar	shower curtain bar	misc	bar	curtain					
1628	shower curtain rod	shower curtain rod	curtain	curtain	curtain					
1629	shower dial	shower dial	misc	shower	shower					
1630	shower door	shower door	shower	shower	shower					
1631	shower door frame	shower door frame	shower	shower	door					
1632	shower door knob	shower door knob	misc	door	door					
1633	shower floor	shower floor	shower	shower	shower					
1634	shower frame	shower frame	shower	shower	shower					
1635	shower glass	shower glass	misc	"glass, drinking glass"	"glass, drinking glass"					
1636	shower grab bar	shower grab bar	misc	bar	shower					
1637	shower handle	shower handle	misc	shower	shower					
1638	shower handrail	shower handrail	railing	"bannister, banister, balustrade, balusters, handrail"	"bannister, banister, balustrade, balusters, handrail"					
1639	shower hanger	shower hanger	misc	"bannister, banister, balustrade, balusters, handrail"	shower					
1640	shower head	showerhead	shower	shower	"washer, automatic washer, washing machine"					
1641	shower hose	shower hose	misc	shower	shower					
1642	shower hose/head	shower hose/head	misc	shower	shower					
1643	shower knob	shower knob	misc	shower	shower					
1644	shower mat	shower mat	floor	rug	shower					
1645	shower mirror	shower mirror	mirror	mirror	shower					
1646	shower pipe	shower pipe	misc	shower	shower					
1647	shower rail	shower rail	misc	rail	rail					
1648	shower rod	shower rod	curtain	curtain	shower					
1649	shower seat	shower seat	misc	seat	seat					
1650	shower shelf	shower shelf	shelving	shelf	shelf					
1651	shower soap shelf	shower soap shelf	misc	shower	shower					
1652	shower stall	shower stall	misc	shower	shower					
1653	shower step	shower step	shower	shower	shower					
1654	shower tap	shower tap	misc	shower	shower					
1655	shower tray	shower tray	shower	shower	tray					
1656	shower tub	shower tub	bathtub	tub	tub					
1657	shower utensill	shower utensil	objects	shower	shower					
1658	shower valve	shower valve	misc	shower	shower					
1659	shower wall	shower wall	shower	shower	shower					
1660	shower wall cubby	shower wall cubby	shower	shower	shower					
1661	shower window frame	shower window frame	window	window	window					
1662	shower-bath cabinet	shower-bath cabinet	cabinet	cabinet	window					
1663	showerhead	showerhead	shower	shower	"washer, automatic washer, washing machine"					
1664	shredder	shredder	appliances	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"					
1665	shutter	shutter	blinds	"awning, sunshade, sunblind"	"awning, sunshade, sunblind"					
1666	shutters	shutters	blinds	"awning, sunshade, sunblind"	window					
1667	side table	side table	table	table	table					
1668	sideboard	sideboard	misc	"buffet, counter, sideboard"	"buffet, counter, sideboard"					
1669	sign	sign	misc	"signboard, sign"	"signboard, sign"					
1670	silicone gun	silicone gun	objects	"plaything, toy"	pillow					
1671	silicone tube	silicone tube	objects	"plaything, toy"	tub					
1672	sink	sink	sink	sink	sink					
1673	sink cabinet	sink cabinet	cabinet	cabinet	cabinet					
1674	sink pipe	sink pipe	misc	sink	sink					
1675	sink table	sink table	table	table	sink					
1676	sink tap	sink tap	misc	sink	sink					
1677	sink/basin	sink/basin	misc	sink	sink					
1678	sitting bench	sitting bench	seating	bench	bench					
1679	skateboard	skateboard	objects	bicycle	bicycle					
1680	skates	skates	objects	bicycle	bicycle					
1681	ski	ski	objects	"plaything, toy"	"mountain, mount"					
1682	skirting board	skirting board	wall	bulletin board	bulletin board					
1683	sky	sky	misc	sky	sky					
1684	skylight	skylight	window	sky	"stairway, staircase"					
1685	slab	slab	objects	stove	"rock, stone"					
1686	sled	sled	objects	"plaything, toy"	"minibike, motorbike"					
1687	sledge	sledge	objects	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"	"conveyer belt, conveyor belt, conveyer, conveyor, transporter"					
1688	sleeping bag	sleeping bag	objects	bag	bag					
1689	sliding door	sliding door	door	door	door					
1690	sliding glass door	sliding glass door	misc	"screen door, screen"	"glass, drinking glass"					
1691	slippers	slippers	objects	clothes	pillow					
1692	small table	table	table	table	table					
1693	small table/stand	small table/stand	misc	table	table					
1694	smoke alarm	smoke alarm	objects	computer	"ottoman, pouf, pouffe, puff, hassock"					
1695	smoke detector	smoke detector	misc	computer	"ottoman, pouf, pouffe, puff, hassock"					
1696	snack	snack	objects	"food, solid food"	"food, solid food"					
1697	soap	soap	objects	sink	"washer, automatic washer, washing machine"					
1698	soap bottle	soap bottle	objects	bottle	bottle					
1699	soap dish	soap dish	objects	bottle	tub					
1700	soap dish cubby	soap dish cubby	misc	bottle	tub					
1701	soap dispenser	soap dispenser	objects	bottle	"toilet, can, commode, crapper, pot, potty, stool, throne"					
1702	soap dispenser shelf in shower	soap dispenser shelf in shower	misc	bottle	shower					
1703	soap tray	soap tray	objects	tray	tray					
1704	soapbox	soapbox	misc	box	"base, pedestal, stand"					
1705	socket	socket	objects	radiator	radiator					
1706	socks	socks	clothes	clothes	clothes					
1707	sofa	sofa	sofa	sofa	sofa					
1708	sofa chair	sofa chair	chair	chair	sofa					
1709	sofa seat	sofa seat	misc	sofa	sofa					
1710	sofa set	sofa set	sofa	sofa	sofa					
1711	soft chair	soft chair	chair	chair	chair					
1712	solarium	solarium	misc	fireplace	fireplace					
1713	solarium door	solarium door	door	door	door					
1714	sombrero	sombrero	objects	clothes	"ottoman, pouf, pouffe, puff, hassock"					
1715	sopp bottle	soap bottle	objects	bottle	bottle					
1716	sound bar	soundbar	appliances	computer	crt screen					
1717	soundbar	soundbar	appliances	computer	crt screen					
1718	spa armchair	spa armchair	chair	armchair	armchair					
1719	spa bathtub	spa bathtub	bathtub	tub	tub					
1720	spa bench	spa bench	seating	bench	bench					
1721	spatula	spatula	objects	oven	oven					
1722	speaker	speaker	objects	computer	chair					
1723	speaker stand	speaker stand	cabinet	"base, pedestal, stand"	"base, pedestal, stand"					
1724	spice boxes	spice boxes	objects	box	box					
1725	spice rack	spice rack	shelving	shelf	shelf					
1726	spices	spices	objects	"food, solid food"	"food, solid food"					
1727	spirit level	spirit level	objects	"earth, ground"	"earth, ground"					
1728	sponge	sponge	objects	tub	tub					
1729	spoon	spoon	objects	table	tray					
1730	spray	spray	objects	bottle	"washer, automatic washer, washing machine"					
1731	spray can	spray can	objects	bottle	"toilet, can, commode, crapper, pot, potty, stool, throne"					
1732	sprinkler	sprinkler	objects	water	water					
1733	square	square	objects	"land, ground, soil"	"land, ground, soil"					
1734	stack	stack	misc	bookcase	bookcase					
1735	stack of albums	stack of albums	objects	book	bookcase					
1736	stack of bags	stack of bags	objects	bag	bookcase					
1737	stack of binders	stack of binders	objects	book	bookcase					
1738	stack of blankets	stack of blankets	objects	"blanket, cover"	bookcase					
1739	stack of book	stack of books	objects	book	bookcase					
1740	stack of books	stack of books	objects	book	bookcase					
1741	stack of books/ papers	stack of books / papers	objects	book	bookcase					
1742	stack of boxes	stack of boxes	objects	box	bookcase					
1743	stack of cd's	stack of cds	objects	computer	bookcase					
1744	stack of cds	stack of cds	objects	computer	bookcase					
1745	stack of chairs	stack of chairs	chair	chair	bookcase					
1746	stack of clothes	stack of clothes	clothes	clothes	bookcase					
1747	stack of files	stack of files	objects	book	bookcase					
1748	stack of jackets	stack of jackets	clothes	clothes	bookcase					
1749	stack of magazines	stack of magazines	objects	book	bookcase					
1750	stack of music stands	stack of music stands	misc	shelf	bookcase					
1751	stack of paper	stack of papers	misc	book	bookcase					
1752	stack of papers	stack of papers	misc	book	bookcase					
1753	stack of pillows	stack of pillows	cushion	cushion	bookcase					
1754	stack of plates	stack of plates	objects	plate	bookcase					
1755	stack of pots	stack of pots	objects	vase	bookcase					
1756	stack of product boxes	stack of product boxes	objects	box	bookcase					
1757	stack of shoes	stack of shoes	objects	clothes	bookcase					
1758	stack of stuff	stack of stuff	misc	box	bookcase					
1759	stack of t shirts	stack of t-shirts	clothes	clothes	bookcase					
1760	stack of towels	stack of towels	towel	towel	bookcase					
1761	stack of trays	stack of trays	objects	tray	bookcase					
1762	stack of yarns	stack of yarns	clothes	clothes	bookcase					
1763	stacked chair	stacked chair	chair	chair	chair					
1764	stacked chairs	stacked chair	chair	chair	chair					
1765	stage	stage	misc	stage	stage					
1766	stained glass	stained glass	window	window	"glass, drinking glass"					
1767	stair	stair	stairs	stairs	"step, stair"					
1768	stair frame	stair frame	misc	"step, stair"	"step, stair"					
1769	stair handle	stair handle	railing	"step, stair"	"step, stair"					
1770	stair railing	banister	railing	"bannister, banister, balustrade, balusters, handrail"	"bannister, banister, balustrade, balusters, handrail"					
1771	stair step	stair step	misc	"step, stair"	"step, stair"					
1772	stair wall	stair wall	misc	"step, stair"	"step, stair"					
1773	staircaise handrail	staircase handrail	misc	"stairway, staircase"	"bannister, banister, balustrade, balusters, handrail"					
1774	staircase	staircase	stairs	"stairway, staircase"	"stairway, staircase"					
1775	staircase handrail	staircase handrail	misc	"bannister, banister, balustrade, balusters, handrail"	"bannister, banister, balustrade, balusters, handrail"					
1776	staircase handrair	staircase handrail	misc	"bannister, banister, balustrade, balusters, handrail"	"bannister, banister, balustrade, balusters, handrail"					
1777	staircase trim	staircase trim	misc	"stairway, staircase"	"stairway, staircase"					
1778	staircase wall	staircase wall	wall	wall	"stairway, staircase"					
1779	stairs	stairs	stairs	stairs	stairs					
1780	stairs railing	stairs railing	misc	stairs	stairs					
1781	stairs skirt	stairs skirt	misc	stairs	stairs					
1782	stairs trim	stairs trim	stairs	stairs	stairs					
1783	stairs wall	stairs wall	wall	wall	stairs					
1784	stairwell	stairwell	stairs	stairs	"stairway, staircase"					
1785	stampler	stapler	objects	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
1786	stand	stand	table	table	"base, pedestal, stand"					
1787	stand/small table	stand/small table	table	table	"base, pedestal, stand"					
1788	stapler	stapler	objects	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
1789	star	star	objects	"plaything, toy"	fan					
1790	stationary	stationery	objects	"plaything, toy"	clothes					
1791	stationery	stationery	objects	"plaything, toy"	clothes					
1792	statue	statue	objects	sculpture	sculpture					
1793	statue/art	statue/art	misc	sculpture	sculpture					
1794	steel plate	steel plate	objects	plate	plate					
1795	step	step	stairs	stairs	"step, stair"					
1796	step stool	step stool	stool	stool	"toilet, can, commode, crapper, pot, potty, stool, throne"					
1797	stereo	stereo	appliances	computer	crt screen					
1798	stereo set	stereo set	appliances	computer	crt screen					
1799	stick	stick	misc	"grandstand, covered stand"	"grandstand, covered stand"					
1800	sticker book	sticker book	objects	table	book					
1801	sticky notes	sticky notes	objects	table	pillow					
1802	stoll	stole	clothes	clothes	bag					
1803	stone	stone	objects	"rock, stone"	"rock, stone"					
1804	stone bench	stone bench	seating	bench	bench					
1805	stone support structure	stone support structure	misc	"rock, stone"	"rock, stone"					
1806	stones	stones	misc	"rock, stone"	"rock, stone"					
1807	stonework	stonework	misc	sculpture	"bannister, banister, balustrade, balusters, handrail"					
1808	stoo	stool	stool	stool	"toilet, can, commode, crapper, pot, potty, stool, throne"					
1809	stool	stool	stool	stool	"toilet, can, commode, crapper, pot, potty, stool, throne"					
1810	stools	stools	stool	stool	"toilet, can, commode, crapper, pot, potty, stool, throne"					
1811	storage	storage	objects	"tank, storage tank"	"tank, storage tank"					
1812	storage bin	storage bin	misc	"tank, storage tank"	"tank, storage tank"					
1813	storage box	storage box	misc	box	box					
1814	storage cabinet	storage cabinet	cabinet	cabinet	cabinet					
1815	storage shelving	storage shelving	shelving	shelf	"tank, storage tank"					
1816	storage space	storage space	misc	"tank, storage tank"	"tank, storage tank"					
1817	storage unit	storage unit	furniture	"tank, storage tank"	"tank, storage tank"					
1818	stove	stove	appliances	stove	stove					
1819	stove and oven	oven	appliances	oven	oven					
1820	stove door	door	door	door	door					
1821	stove utensil	utensil	objects	tray	tray					
1822	stove utensils	utensil	objects	tray	tray					
1823	stovetop	stovetop	misc	stove	stove					
1824	strands	strings	misc	clothes	rug					
1825	stricker book	book	objects	book	book					
1826	strings	strings	misc	rug	rug					
1827	stripes	decoration	objects	sconce	sconce					
1828	stroke	stroke	misc	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
1829	strongbox	strongbox	objects	"chest of drawers, chest, bureau, dresser"	"chest of drawers, chest, bureau, dresser"					
1830	stuffed animal	stuffed animal	objects	"plaything, toy"	animal					
1831	stuffed duck	stuffed animal	objects	"plaything, toy"	animal					
1832	subwoofer	subwoofer	objects	computer	"awning, sunshade, sunblind"					
1833	suitcase	luggage	objects	bag	bag					
1834	sunbed	sunbed	furniture	"pool table, billiard table, snooker table"	"pool table, billiard table, snooker table"					
1835	support	support	misc	"base, pedestal, stand"	"base, pedestal, stand"					
1836	support beam	support beam	beam	"bannister, banister, balustrade, balusters, handrail"	"bannister, banister, balustrade, balusters, handrail"					
1837	support stand	stand	table	"base, pedestal, stand"	"base, pedestal, stand"					
1838	supporting beam	support beam	beam	"bannister, banister, balustrade, balusters, handrail"	"bannister, banister, balustrade, balusters, handrail"					
1839	supporting structure	support	misc	"base, pedestal, stand"	"base, pedestal, stand"					
1840	surface	surface	counter	counter	dirt track					
1841	surfboard	surfboard	objects	boat	boat					
